,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind_Speed
0,atuona,92,PF,1552530281,100,-9.8,-139.03,82.36,13.44
1,cape town,0,ZA,1552530189,88,-33.93,18.42,65.7,12.75
2,souillac,0,FR,1552530310,87,45.6,-0.6,44.62,6.93
3,rikitea,100,PF,1552530253,100,-23.12,-134.97,74.49,26.53
4,tiksi,68,RU,1552530294,83,71.64,128.87,-2.47,4.05
5,chokurdakh,8,RU,1552530265,66,70.62,147.9,-8.86,3.38
6,belomorsk,8,RU,1552530449,77,64.52,34.76,7.17,5.95
7,mataura,88,NZ,1552530005,67,-46.19,168.86,57.99,5.01
8,klaksvik,68,FO,1552530000,93,62.23,-6.59,37.4,12.75
9,whitehorse,90,CA,1552528800,50,60.72,-135.06,33.8,9.17
10,hermanus,32,ZA,1552529810,97,-34.42,19.24,63.12,3.38
11,saskylakh,0,RU,1552530279,46,71.97,114.09,-15.7,3.83
12,lorengau,76,PG,1552530284,100,-2.02,147.27,81.24,16.69
13,albany,90,US,1552530071,59,42.65,-73.75,36.55,9.17
14,ahuimanu,40,US,1552530012,54,21.44,-157.84,76.6,17.22
15,saint-philippe,90,CA,1552530229,100,45.36,-73.48,31.06,3.36
16,jalapa,75,GT,1552528800,82,14.63,-89.98,68.0,6.93
17,puerto ayora,0,EC,1552529771,84,-0.74,-90.35,77.0,5.99
18,rio gallegos,90,AR,1552525200,93,-51.62,-69.22,50.0,5.82
19,sisimiut,0,GL,1552530450,50,66.94,-53.67,-17.95,1.7
20,vaini,0,IN,1552525200,49,15.34,74.49,69.8,4.72
21,ocos,75,GT,1552527600,74,14.51,-92.19,84.2,2.24
22,nemuro,75,JP,1552527360,86,43.32,145.57,30.2,4.7
23,plettenberg bay,80,ZA,1552530281,100,-34.05,23.37,64.86,5.73
24,manzhouli,0,CN,1552530451,32,49.6,117.43,29.98,11.21
25,ushuaia,0,AR,1552525200,53,-54.81,-68.31,51.8,3.94
26,college,1,US,1552530324,58,64.86,-147.8,31.01,8.05
27,inhambane,80,MZ,1552530385,89,-23.87,35.38,80.11,16.02
28,mar del plata,88,AR,1552530251,73,-46.43,-67.52,57.16,12.21
29,gouyave,20,GD,1552525200,83,12.16,-61.73,78.8,17.22
30,narsaq,56,GL,1552528200,73,60.91,-46.05,24.8,10.29
31,thompson,20,CA,1552528800,85,55.74,-97.86,24.8,4.7
32,bilibino,0,RU,1552530370,56,68.06,166.44,-6.61,2.93
33,atar,0,MR,1552530385,23,20.52,-13.05,60.76,7.29
34,san luis,8,AR,1552530418,52,-33.3,-66.34,67.69,10.98
35,thinadhoo,48,MV,1552530452,100,0.53,72.93,82.32,7.96
36,kamaishi,40,JP,1552529460,59,39.28,141.86,33.8,12.75
37,vanavara,88,RU,1552530453,91,60.35,102.28,28.36,8.75
38,kasongo-lunda,88,CD,1552530453,92,-6.48,16.82,71.16,2.37
39,nola,64,CF,1552530453,79,3.52,16.05,73.14,2.59
40,nong chik,0,TH,1552530453,67,6.84,101.18,86.41,6.62
41,moose factory,75,CA,1552528800,93,51.26,-80.61,33.8,3.36
42,taltal,0,CL,1552530454,95,-25.41,-70.49,55.54,1.92
43,aykhal,0,RU,1552530454,69,65.95,111.51,3.12,4.16
44,omsukchan,0,RU,1552530454,75,62.53,155.8,0.73,3.71
45,dalvik,88,SE,1552529764,100,57.79,14.13,37.13,2.24
46,bambous virieux,20,MU,1552530245,78,-20.34,57.76,73.35,5.82
47,marawi,8,PH,1552529733,74,8.0,124.29,80.01,5.99
48,sorong,56,ID,1552530455,97,-0.86,131.25,82.95,10.31
49,victoria,75,BN,1552527000,74,5.28,115.24,85.05,1.12
50,hilo,75,US,1552530056,73,19.71,-155.08,72.0,4.7
51,esperance,20,TT,1552530007,88,10.24,-61.45,76.78,9.17
52,carnarvon,92,ZA,1552530261,26,-30.97,22.13,58.24,8.97
53,kieta,88,PG,1552530455,100,-6.22,155.63,80.07,3.94
54,solon,1,US,1552530319,65,41.39,-81.44,49.55,4.7
55,ajdabiya,0,LY,1552530456,86,30.75,20.22,40.83,3.38
56,kurilsk,92,RU,1552530456,99,45.23,147.88,29.22,4.83
57,swan hill,0,AU,1552530456,90,-35.34,143.56,66.12,8.63
58,neiafu,75,TO,1552528800,79,-18.65,-173.98,84.2,6.93
59,kodiak,75,US,1552530250,67,39.95,-94.76,56.01,20.8
60,bluff,0,AU,1552530258,41,-23.58,149.07,95.28,5.28
61,praia,0,BR,1552528800,88,-20.25,-43.81,69.8,2.24
62,talnakh,88,RU,1552530351,86,69.49,88.39,20.71,17.13
63,krosno,0,PL,1552530387,65,49.69,21.77,37.96,11.41
64,parrita,0,CR,1552528800,64,9.52,-84.33,69.8,16.11
65,tuktoyaktuk,75,CA,1552528800,75,69.44,-133.03,-14.81,10.29
66,kaitangata,88,NZ,1552530246,73,-46.28,169.85,55.99,5.99
67,ornskoldsvik,92,SE,1552528200,95,63.29,18.72,32.0,12.75
68,bilma,0,NE,1552530458,27,18.69,12.92,63.91,13.67
69,barrow,20,AR,1552530276,92,-38.31,-60.23,52.66,6.62
70,luis correia,24,BR,1552530459,95,-2.88,-41.67,73.54,3.15
71,bredasdorp,100,ZA,1552529810,88,-34.53,20.04,62.92,2.24
72,busselton,0,AU,1552530071,42,-33.64,115.35,70.93,11.32
73,mango,0,IT,1552530426,42,44.69,8.15,40.24,5.82
74,launceston,0,AU,1552529705,45,-41.43,147.14,64.72,12.75
75,kavaratti,0,IN,1552530265,99,10.57,72.64,83.53,14.12
